name,province,province_name,website,software,category,final_url,error
Victoria Masters Swim Club,BC,British Columbia,https://www.victoriamasters.ca,PoolQ,Swim-specific,https://www.victoriamasters.ca/,
WestShore Masters Swim Club,BC,British Columbia,https://westshoremasters.ca,WordPress,CMS / Website builder,https://westshoremasters.ca/,
Westside Thunder Masters Swim,BC,British Columbia,,No Website,No Website,,
Yukon Graylings Masters,YT,Yukon,https://www.yukongraylingsmasters.com,JerseyWatch,Sports management,https://www.yukongraylingsmasters.com/,
Aurora Master Ducks,ON,Ontario,https://masterducks.ca,GoMotion,Swim-specific,https://www.masterducks.ca/page/home,
Etobicoke Olympium Masters Aquatic Club,ON,Ontario,https://www.eomac.ca,Squarespace,CMS / Website builder,https://www.eomac.ca/,
Granite Masters,ON,Ontario,,No Website,No Website,,
North Toronto Masters,ON,Ontario,https://www.swimordie.ca,Unknown / Custom,Unknown / Custom,https://www.swimordie.ca/,
Georgian Bay Squall,ON,Ontario,https://www.Georgianbaysquall.ca,GoMotion,Swim-specific,https://www.georgianbaysquall.ca/page/home,
Technosport Masters,ON,Ontario,https://www.technosport.ca,WordPress,CMS / Website builder,https://www.technosport.ca/,
Moncton H2O Masters,NB,New Brunswick,https://www.mh2o.ca,Unknown / Custom,Unknown / Custom,https://www.mh2o.ca/,
Mount Allison Mounties,NB,New Brunswick,,No Website,No Website,,
Swim New Brunswick,NB,New Brunswick,https://swimnb.poolq.net,PoolQ,Swim-specific,https://swimnb.poolq.net/,
Swimming New Brunswick,NB,New Brunswick,https://swimnb.poolq.net,PoolQ,Swim-specific,https://swimnb.poolq.net/,
UNB Reds,NB,New Brunswick,https://www.unbswimming.ca,Wix,CMS / Website builder,https://www.unbswimming.ca/,
Swimming Province,ON,Ontario,https://www.swimmingclub.com,Unknown / Custom,Unknown / Custom,https://www.swimmingclub.com/,
Swimming Club,ON,Ontario,https://www.swimmingclub.com,Unknown / Custom,Unknown / Custom,https://www.swimmingclub.com/,
